Row,Regex1,Regex2,IsEquivalent,SimilarityScore
1,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
2,^[a-zA-Z]{3}$,^[a-zA-Z]{3}$,True,1.0
3,"^([a-zA-Z]{4,5}[ ,.!?;:'""…]*){4,7}[a-zA-Z]{4,5}[.!?;:'""…]?$","^([a-zA-Z]{4,5}[ ,.!?;:'""…]*){4,7}[a-zA-Z]{4,5}[.!?;:'""…]?$",True,1.0
4,^(?=.*efpzyd)(?=.*qesff).*$,^(?=.*efpzyd)(?=.*qesff).*$,True,1.0
5,^(?=.*xnkglciq)(?=.*mgl).*$,^(?=.*xnkglciq)(?=.*mgl).*$,True,1.0
6,"^\d{1,4}$","^\d{1,4}$",True,1.0
7,^giw.*,^giw.*,True,1.0
8,"^([a-zA-Z]+[ ,.!?;:'""…]*){3}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){3}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
9,.*mlh$,.*mlh$,True,1.0
10,\d+,\d+,True,1.0
11,"^[a-zA-Z0-9]{2,7}$","^[a-zA-Z0-9]{2,7}$",True,1.0
12,"^.{7,9}pps$","^.{7,9}pps$",True,1.0
13,\s+,\s+,True,1.0
14,"^[A-Z]{1,9}$","^[A-Z]{1,9}$",True,1.0
15,.*eglis$,.*eglis$,True,1.0
16,^[a-zA-Z]{7}$,^[a-zA-Z]{7}$,True,1.0
17,^\d{10}$,^\d{10}$,True,1.0
18,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
19,^ajdspaa.*,^ajdspaa.*,True,1.0
20,^ebsusgmj.*,^ebsusgmj.*,True,1.0
21,"^\d{10,}$","^\d{10,}$",True,1.0
22,"^[a-zA-Z0-9]{1,5}$","^[a-zA-Z0-9]{1,5}$",True,1.0
23,\d+,\d+,True,1.0
24,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
25,^(?=.*dkkfedq)(?=.*vovcqr).*$,^(?=.*dkkfedq)(?=.*vovcqr).*$,True,1.0
26,^[^\d]*$,^[^\d]*$,True,1.0
27,"^\d{9,}$","^\d{9,}$",True,1.0
28,^(?=.*bnttvf)(?=.*dltf).*$,^(?=.*bnttvf)(?=.*dltf).*$,True,1.0
29,"^[a-z]{1,8}$","^[a-z]{1,8}$",True,1.0
30,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
31,"^[a-zA-Z0-9]{4,7}$","^[a-zA-Z0-9]{4,7}$",True,1.0
32,"^.{3,7}zjuyc$","^.{3,7}zjuyc$",True,1.0
33,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
34,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
35,^yiszzx.*nvxzl.*$,^yiszzx.*nvxzl.*$,True,1.0
36,^[a-zA-Z]{5}$,^[a-zA-Z]{5}$,True,1.0
37,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
38,^\d{10}$,^\d{10}$,True,1.0
39,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
40,.*whcyhv$,.*whcyhv$,True,1.0
41,"^[A-Z]{4,6}$","^[A-Z]{4,6}$",True,1.0
42,"^[A-Z]{2,3}$","^[A-Z]{2,3}$",True,1.0
43,.*qiu$,.*qiu$,True,1.0
44,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
45,"^\d{1,6}$","^\d{1,6}$",True,1.0
46,\d+,\d+,True,1.0
47,\w+,\w+,True,1.0
48,"^([a-zA-Z]{3,8}[ ,.!?;:'""…]*){1,3}[a-zA-Z]{3,8}[.!?;:'""…]?$","^([a-zA-Z]{3,8}[ ,.!?;:'""…]*){1,3}[a-zA-Z]{3,8}[.!?;:'""…]?$",True,1.0
49,"^\d{8,}$","^\d{8,}$",True,1.0
50,\d+,\d+,True,1.0
51,"^\d{3,4}$","^\d{3,4}$",True,1.0
52,.*sbksh$,.*sbksh$,True,1.0
53,"^\d{7,}$","^\d{7,}$",True,1.0
54,.*hvichv$,.*hvichv$,True,1.0
55,^(?=.*vpdwyp)(?=.*cob).*$,^(?=.*vpdwyp)(?=.*cob).*$,True,1.0
56,"^.{1,4}zehgeb$","^.{1,4}zehgeb$",True,1.0
57,^mhkblx.*,^mhkblx.*,True,1.0
58,^zodg.*aazqx.*$,^zodg.*aazqx.*$,True,1.0
59,"^[a-zA-Z0-9]{2,10}$","^[a-zA-Z0-9]{2,10}$",True,1.0
60,^[^\d]*$,^[^\d]*$,True,1.0
61,"^\d{1,10}$","^\d{1,10}$",True,1.0
62,^\d.*$,^\d.*$,True,1.0
63,"^([a-zA-Z]{5,8}[ ,.!?;:'""…]*){1,4}[a-zA-Z]{5,8}[.!?;:'""…]?$","^([a-zA-Z]{5,8}[ ,.!?;:'""…]*){1,4}[a-zA-Z]{5,8}[.!?;:'""…]?$",True,1.0
64,"^([a-zA-Z]{4,7}[ ,.!?;:'""…]*){1,6}[a-zA-Z]{4,7}[.!?;:'""…]?$","^([a-zA-Z]{4,7}[ ,.!?;:'""…]*){1,6}[a-zA-Z]{4,7}[.!?;:'""…]?$",True,1.0
65,\s+,\s+,True,1.0
66,"^([a-zA-Z]+[ ,.!?;:'""…]*){1}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){1}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
67,^[a-zA-Z]{10}$,^[a-zA-Z]{10}$,True,1.0
68,^sncv.*,^sncv.*,True,1.0
69,^\d{7}$,^\d{7}$,True,1.0
70,"^([a-zA-Z]+[ ,.!?;:'""…]*){6}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){6}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
71,\s+,\s+,True,1.0
72,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
73,"^[a-zA-Z0-9]{1,5}$","^[a-zA-Z0-9]{1,5}$",True,1.0
74,.*cab$,.*cab$,True,1.0
75,^yhrkhqs.*mrnxgv.*$,^yhrkhqs.*mrnxgv.*$,True,1.0
76,^[^\d]*$,^[^\d]*$,True,1.0
77,^vudat.*iqhfjuvq.*$,^vudat.*iqhfjuvq.*$,True,1.0
78,"^.{2,5}bkpky$","^.{2,5}bkpky$",True,1.0
79,\s+,\s+,True,1.0
80,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
81,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
82,.*lcfboaq$,.*lcfboaq$,True,1.0
83,"^\d{1,}$","^\d{1,}$",True,1.0
84,\w+,\w+,True,1.0
85,.*imfqxeqi$,.*imfqxeqi$,True,1.0
86,\d+,\d+,True,1.0
87,"^\d{5,8}$","^\d{5,8}$",True,1.0
88,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
89,"^\d{5,7}$","^\d{5,7}$",True,1.0
90,^[a-zA-Z]{1}$,^[a-zA-Z]{1}$,True,1.0
91,^\d{3}$,^\d{3}$,True,1.0
92,"^([a-zA-Z]{4,5}[ ,.!?;:'""…]*){0,8}[a-zA-Z]{4,5}[.!?;:'""…]?$","^([a-zA-Z]{4,5}[ ,.!?;:'""…]*){0,8}[a-zA-Z]{4,5}[.!?;:'""…]?$",True,1.0
93,.*ekfkgs$,.*ekfkgs$,True,1.0
94,^\d.*$,^\d.*$,True,1.0
95,"^\d{5,9}$","^\d{5,9}$",True,1.0
96,^(?=.*lzi)(?=.*abuwlsa).*$,^(?=.*lzi)(?=.*abuwlsa).*$,True,1.0
97,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
98,\w+,\w+,True,1.0
99,"^\d{10,}$","^\d{10,}$",True,1.0
100,^(?=.*mbvwlut)(?=.*mbf).*$,^(?=.*mbvwlut)(?=.*mbf).*$,True,1.0
101,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
102,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
103,^gyqly.*,^gyqly.*,True,1.0
104,"^([a-zA-Z]{5,10}[ ,.!?;:'""…]*){1,3}[a-zA-Z]{5,10}[.!?;:'""…]?$","^([a-zA-Z]{5,10}[ ,.!?;:'""…]*){1,3}[a-zA-Z]{5,10}[.!?;:'""…]?$",True,1.0
105,^[^\d]*$,^[^\d]*$,True,1.0
106,^(?=.*aurgl)(?=.*vzo).*$,^(?=.*aurgl)(?=.*vzo).*$,True,1.0
107,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
108,"^[a-zA-Z0-9]{3,9}$","^[a-zA-Z0-9]{3,9}$",True,1.0
109,^[^\d]*$,^[^\d]+$,False,0.875
110,^\d{2}$,^\d{2}$,True,1.0
111,^[^\d]*$,^[^\d]*$,True,1.0
112,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
113,\d+,\d+,True,1.0
114,"^[a-zA-Z0-9]{5,8}$","^[a-zA-Z0-9]{5,8}$",True,1.0
115,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
